varianza,errore
0.00207097,0
0.00190326,0.00016771
0.00162827,0.000291543
0.000606754,0.00104211
0.00104797,0.000919927
0.000738605,0.000812333
0.000795678,0.000688915
0.0011947,0.000717756
0.00123994,0.000634615
0.00134709,0.000577643
0.00115626,0.000556254
0.00101731,0.000526457
0.00113344,0.000498
0.000839575,0.000546745
0.000513206,0.00060464
0.000362249,0.000585388
0.000224734,0.000566811
0.000137047,0.000541541
5.38806e-05,0.000518954
-8.32615e-05,0.000511067
-1.91532e-05,0.000490331
-2.29802e-05,0.000467528
-0.000122134,0.000457609
-0.000243618,0.000454658
-7.85765e-05,0.000466279
-0.000212596,0.000467603
-0.000112994,0.000460844
-1.88517e-05,0.000453949
-0.000200035,0.00047401
-0.000357339,0.000484202
-0.000455387,0.000478476
-0.000402934,0.000466242
-0.000366109,0.000453391
-0.000476242,0.000453432
-0.000469774,0.000440333
-0.000361443,0.000441426
-0.000450376,0.000438444
-0.000462333,0.000426918
-0.000403414,0.000419981
-0.000382977,0.000409856
-0.000442921,0.000404204
-0.000433998,0.000394564
-0.000424918,0.000385386
-0.000429354,0.000376551
-0.000349108,0.000376734
-0.000336404,0.000368672
-0.000329517,0.000360809
-0.000272925,0.000357717
-0.000253553,0.000350876
-0.000316755,0.000349548
-0.000327867,0.000342805
-0.000330991,0.000336163
-0.000309166,0.000330481
-0.000351226,0.000327019
-0.000437017,0.000332284
-0.000436408,0.000326297
-0.000498215,0.000326426
-0.000505363,0.000320829
-0.00055597,0.000319379
-0.000536565,0.00031461
-0.000522554,0.000309726
-0.00056163,0.000307185
-0.000516023,0.000305691
-0.000514979,0.000300879
-0.000473034,0.000299169
-0.000409924,0.000301285
-0.000456237,0.000300346
-0.000451491,0.000295934
-0.000413976,0.000294017
-0.000400601,0.000290095
-0.000379914,0.000286727
-0.00038477,0.000282758
-0.000388287,0.00027888
-0.000436042,0.0002792
-0.000480286,0.000278983
-0.000507503,0.00027663
-0.00051354,0.00027308
-0.000518294,0.000269599
-0.000551381,0.000268213
-0.00059958,0.000269189
-0.000593964,0.000265904
-0.000615586,0.00026353
-0.000587834,0.00026181
-0.000565854,0.000259607
-0.000615186,0.000261235
-0.000564595,0.000263089
-0.000545673,0.000260735
-0.000543853,0.000257762
-0.000487375,0.000261032
-0.000467281,0.000258897
-0.000444009,0.000257091
-0.000431415,0.000254593
-0.000439034,0.000251956
-0.000427745,0.000249517
-0.000398051,0.000248656
-0.000379224,0.000246771
-0.0003895,0.00024443
-0.000404858,0.00024241
-0.000396935,0.000240079
-0.00036086,0.000240389
